Year,Apr,May,Jun,Jul,Aug,Sep,Oct
1987,29.08564815,10.17398447,8.028549383,7.381272401,6.137992832,5.663580247,4.330943847
1988,7.322530864,5.518219833,5.127314815,4.435483871,3.770908005,3.094135802,7.340203106
1989,9.24382716,6.817502987,5.536265432,4.614695341,3.965053763,3.244598765,3.192204301
1990,21.49305556,8.964307049,7.017746914,5.921445639,4.883512545,4.263117284,3.225806452
1991,3.368055556,2.594832736,2.133487654,1.795848268,1.583034648,1.385030864,3.427419355
1992,5.733024691,4.245071685,3.479938272,3.035394265,2.744175627,2.492283951,1.224611708
1993,6.296296296,4.820041816,3.865740741,3.095131422,2.710573477,2.322530864,2.195340502
1994,10.30864198,8.266129032,6.06095679,4.547491039,3.86051374,3.333333333,2.561230585
1995,18.08641975,12.23491637,11.33101852,8.844832736,8.856033453,7.05632716,2.848715651
1996,34.50617284,10.63321386,7.472993827,5.992383513,5.081391876,5.405092593,6.141726404
1997,5.578703704,4.428016726,3.672839506,3.561827957,3.322879331,3.090277778,5.85797491
1998,24.31712963,11.52553763,8.290895062,7.638888889,6.634557945,5.416666667,3.524492234
1999,115.3125,15.41591995,11.05324074,9.714755078,7.209528076,6.404320988,4.442951016
2000,11.50462963,7.265531661,6.195987654,5.118727599,4.390681004,3.657407407,6.182795699
2001,5.277777778,4.252538829,4.116512346,3.576762246,3.024193548,2.62345679,3.815710872
2002,3.144290123,2.344683393,2.25308642,2.001194743,1.66890681,1.574074074,2.419354839
2003,32.57330247,12.76135006,7.141203704,5.577956989,4.988052569,4.456018519,1.639038232
2004,5.37808642,4.36827957,3.641975309,2.930854241,2.452956989,2.071759259,3.707437276
2005,18.12885802,7.530615293,5.763888889,4.655764636,3.961320191,3.279320988,1.616636798
2006,3.533950617,3.012992832,2.395833333,2.031063321,1.784647551,1.689814815,2.4380227
2007,6.93287037,5.346475508,4.444444444,3.625298686,3.106332139,2.665895062,3.300477897
2008,7.63117284,5.353942652,5.038580247,4.345878136,3.658900836,3.032407407,2.654569892
2009,30.9066358,16.51732378,7.542438272,5.887843489,4.928315412,4.047067901,3.128733572
